"Gene","Direction","Count","Files"
"CLASP1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CLINT1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CLN6","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CLPTM1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CNPY3","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"COA4","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"COMMD3","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"COPS6","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"COPZ1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"COX11","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"COX16","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"COX17","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"COX19","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"COX6A1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"COX6B1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CPD","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CREBZF","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CRY1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CSRNP1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CSRP1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CXCL1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CYB5B","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CYBRD1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CYP1A1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"CYTH1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DAPK1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DCAF13","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DCTPP1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DCUN1D5","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DDB1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DDIT3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DDOST","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DDRGK1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DDX18","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DDX39B","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DDX42","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DDX60","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DEM1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DFFA","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DIP2B","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DKK3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DLX2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DNAAF2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DNAJC27","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DPM2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DRAP1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DTX3L","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DUSP3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"DYNLL2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"E2F7","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EBNA1BP2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EEF1A1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EEF1E1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EFHD2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EGFR","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EGR1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EIF1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EIF2AK2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EIF4A1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EIF4G1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ELP5","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EMC9","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EMG1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EMP1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ENO1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ENO3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EP300","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EPB41L1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EPC1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EPHB4","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EPN2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ERBB2IP","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ERH","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ERP29","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ETNK1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"EXOSC5","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FADS1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FAM100A","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FAM115A","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FAM179B","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FAM207A","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FAM214A","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FAM76B","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FAS","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FAT1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FBXO11","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
