"","ex1_GFP_Rep2_Chip20","ex1_GFP_IFNB1_Rep1_Chip20","ex1_GFP_IFNB1_Rep2_Chip20","ex1_NS5_Rep1_Chip20","ex1_NS5_Rep2_Chip20","ex1_NS5_INFNB1_Rep1_Chip20","ex1_NS5_INFNB1_Rep2_Chip20","ex1_GFP_Rep1_Chip21","ex1_GFP_Rep2_Chip21","ex1_GFP_IFNB1_Rep1_Chip21","ex1_NS5_Rep1_Chip21","ex1_NS5_Rep2_Chip21","ex1_NS5_INFNB1_Rep1_Chip21","ex1_NS5_INFNB1_Rep2_Chip21"
"ZNF644",4.00500145757442,3.86046898438145,3.67530013553449,3.67431911665032,3.52512611261012,3.55314765083406,3.54435216295539,3.83163721005177,3.05309903111125,3.81194875646046,3.73728051580246,3.85260936552443,3.44545715042329,3.23140012872438
"ZNF646",2.94699605687109,2.86682215076147,2.80324896449295,2.93432157152867,3.27536307257635,3.25777304275265,2.58185509874811,2.81691518511614,2.53831546185955,2.87742960172233,2.78727290898421,2.93068556270359,3.40416532320429,3.51700594614394
"ZNF652",3.92424980539398,4.11662903193717,3.88331051175164,4.17842978717445,3.87354234830532,4.35553713906047,3.99040956268713,3.49840411559507,3.99461859240264,3.59091128211558,3.77323382197082,3.43589548777942,4.03581749865114,4.18489014798883
"ZNF653",2.56723831325246,2.53133012882572,2.06067543924229,3.06390101042177,2.44925159062714,2.80759167393994,2.88596632965084,2.44925159062714,2.43051800981801,3.27536307257635,2.12845177644973,3.3443270920756,2.78642377189499,2.74894399635944
"ZNF654",5.19983761929585,5.33259833979967,5.13789786881983,4.45136702801358,4.57145475842417,4.75234577024699,4.76933836544656,4.93417825659981,4.79413668937067,5.11364679182244,4.45362320897196,4.52485635886078,4.40818075567837,4.43263252815779
"ZNF655",4.06215416193992,3.93634689122716,3.34808622115168,3.94942075595614,3.76752480830088,3.73505137099427,3.97611907126668,3.80296912059269,4.10508497755171,4.11413636625585,3.73728051580246,3.77323382197082,3.95722902038373,3.54654717044405
"ZNF658",1.51811600322338,2.15869593981069,2.33277264909417,2.57981094057605,2.36226735616043,2.35010614779223,1.79045683256912,1.95211567578746,1.06198676412154,1.79536210808092,1.80232639314518,2.50705711513058,1.37059564198419,2.10733084074487
"ZNF664",6.97261093571325,6.76050296160522,6.88016165250306,6.69269666272812,6.70257329305209,6.49368806688695,6.7173320200571,7.09448345139267,6.80114300950756,6.99147585303589,6.70962039369362,6.89896782037048,6.5116579519206,6.66097899907177
"ZNF669",4.40063566581124,4.4417295183792,4.52813978574929,4.47822658020918,4.52043047813133,4.62931255239484,4.22914795345863,4.49076890328813,4.10508497755171,4.43493707817691,4.35306010014194,3.91929749626818,4.09836767130704,4.00270823809699
"ZNF670",4.76214303051773,4.52322011629145,4.43317583605426,4.04106072682855,4.26568401338473,4.29691656789024,4.05716829022737,4.34799749226551,3.9152259694218,4.5490536153494,3.67129408087836,3.66736919302498,4.09836767130704,3.85710531315455
"ZNF671",2.56723831325246,2.28118138040641,2.10733084074487,2.13943869961447,2.55602154941001,2.38743703308424,2.18464644717075,2.59644462770465,2.43051800981801,1.39624435114433,1.80232639314518,1.08601957010517,2.93432157152867,1.9994000553862
"ZNF672",3.77698542278914,3.82027572156302,4.06215416193992,3.97918083778347,4.06508733746607,3.88331051175164,3.6154031348844,4.36990766162347,4.30008507693346,4.06215416193992,3.57426558194065,4.52485635886078,4.12738580236907,4.06508733746607
"ZNF673",4.11698995605783,4.38755396492441,4.23665207927852,4.01193923184471,4.21065678633394,4.15480059403304,4.05716829022737,4.25463776126098,4.06734674483581,4.29564616948881,4.21758148981776,4.01080716712287,4.06654398129446,4.11698995605783
"ZNF674",3.69945505967621,3.76752480830088,3.22425583377176,3.32399217590739,3.43589548777942,2.85848463477119,2.71773179493553,3.36062062994094,3.73728051580246,3.42053002964053,3.70328107496756,2.93068556270359,3.40416532320429,3.04678221206212
"ZNF674.AS1",2.40415276812539,2.12274276169619,2.13943869961447,2.57981094057605,2.59644462770465,2.63090064716939,2.46200600335277,2.35764490535285,1.65955230631794,2.1365598154784,1.52614471441113,2.23284029788937,2.62626276419999,2.10733084074487
"ZNF675",3.82027572156302,3.63158203067253,4.01193923184471,3.93082580700744,3.89441479253697,4.02711578252602,3.74980093954705,3.66053699359788,3.9152259694218,3.94942075595614,3.57426558194065,3.48691435844045,3.23270714802905,3.39617127127172
"ZNF678",3.94145333487598,3.84972982163548,3.70827126106669,3.82867811178098,3.53972352774958,3.35824690807723,3.4146333686779,3.69651321402975,3.12218050392321,3.54882361749409,3.86509173736111,3.05157593621306,4.2451232670934,3.43703525696155
"ZNF680",3.39505755028477,3.65002495923972,3.125284675277,3.65861524414632,3.11795556297801,3.42967958435781,2.99640449359992,2.53133012882572,2.72904626800673,2.61136237272981,3.49052505997708,3.3443270920756,3.67129408087836,3.47415960263007
"ZNF684",2.43051800981801,1.98836568446459,2.29338272639112,1.77811779261097,1.67497970099358,2.15580281762672,1.95541610312759,1.81626511696717,1.06198676412154,1.79536210808092,2.23811668887148,1.3026446713492,2.10733084074487,1.77811779261097
"ZNF687",3.96624411007732,4.41675320378762,4.31050574101917,3.93082580700744,4.49076890328813,4.15480059403304,4.11413636625585,3.95023371991197,3.63582322013607,4.03386781028478,4.16294600859185,4.25042790620876,4.32508155386514,4.00270823809699
"ZNF688",2.94699605687109,2.6495603869701,2.74894399635944,3.3101504443516,3.35824690807723,3.46976781913897,2.88596632965084,2.44925159062714,2.43051800981801,3.54882361749409,3.0682811010415,3.10897101603716,3.44545715042329,3.04678221206212
"ZNF689",3.83163721005177,4.13031542672542,4.02882654716523,3.24228388707645,3.69746247369485,3.3101504443516,3.70827126106669,3.66053699359788,3.58985298239364,4.19422115214496,3.70328107496756,3.70328107496756,4.30039153958895,3.39617127127172
"ZNF692",3.92424980539398,3.84972982163548,4.16294600859185,4.2451232670934,4.54633939001631,4.24368847710207,4.28434413989219,3.83163721005177,3.9152259694218,3.88598808355413,4.03502276615166,4.54633939001631,4.15480059403304,4.34890234015005
"ZNF695",2.35764490535285,2.32764488532012,2.01267998277632,2.13943869961447,1.35057105303023,1.83953281929405,1.82340454153032,1.55394984754265,1.81626511696717,1.79536210808092,1.67122042314245,1.89332244087253,1.85093261974628,1.6515546698727
"ZNF696",2.53831546185955,2.5037316560509,2.33277264909417,2.33277264909417,2.02466964832479,2.20701880878389,2.30588370369673,1.55394984754265,2.11311669634734,2.75308049004115,2.23811668887148,2.58639954154487,2.10733084074487,2.30588370369673
"ZNF697",2.92726503134794,3.08930422486012,2.59243855712463,2.81877599287486,3.08930422486012,2.42584479375502,2.99640449359992,2.44925159062714,2.53831546185955,3.23005835582837,1.67122042314245,2.72683499656506,2.78642377189499,2.62626276419999
"ZNF699",2.30350836595456,2.5037316560509,2.20701880878389,2.24077562273299,1.67497970099358,2.31943816545527,2.33635959680891,2.35764490535285,2.23284029788937,1.24019252998779,2.01866796606191,1.3026446713492,1.69451969955565,1.88997180726516
"ZNF7",4.62984194977383,4.37532324352472,4.62671457958364,3.9887357125873,4.39556469148701,4.45837331702612,4.28434413989219,4.82089828247603,4.8191548028665,4.72623365894936,4.41173476590082,4.37375958520254,4.2451232670934,4.30039153958895
"ZNF70",2.09198697220608,2.23811668887148,2.41113297489844,2.93432157152867,2.36226735616043,2.74802367260305,2.18464644717075,2.59644462770465,2.43051800981801,2.34761530057623,1.80232639314518,1.79536210808092,2.62626276419999,2.93432157152867
"ZNF703",1.71155729574315,1.81982627307059,2.10733084074487,1.65955230631794,1.43482640844742,2.15580281762672,1.79045683256912,2.35764490535285,2.53831546185955,2.1365598154784,2.4281575812127,2.33277264909417,2.22232036252238,1.9994000553862
"ZNF704",3.43816253145224,3.06233168682684,3.74894296823626,3.54773987794542,3.4146333686779,3.46976781913897,3.27536307257635,3.16867717149946,2.63502875119914,3.12218050392321,3.0682811010415,3.81008008431346,2.86521470524532,3.65423632784508
"ZNF706",6.66334291030126,6.38569684101317,6.42864616725747,6.48922164196189,6.48438462927283,6.441906803323,6.64311162485324,6.53017482302024,6.46262797231727,6.55397781510414,6.73547112629858,6.36474982349139,6.70245502580565,6.33122814721129
"ZNF707",5.07066508844069,5.18256180721284,5.01790391840297,5.01405118480807,5.2095107222272,5.15076968765897,4.89898411537816,4.80384718404756,4.79413668937067,4.93047471426941,4.80320625570628,4.9836443582993,5.25807276964729,4.94221370993807
"ZNF708",1.88997180726516,2.20701880878389,2.24077562273299,2.44013728380835,1.61021599992374,2.25939553508317,2.62420937755817,2.07654091737265,1.81626511696717,1.66720483809559,1.91986192554427,1.79536210808092,2.22232036252238,2.30588370369673
"ZNF71",3.41353323621482,3.12218050392321,3.05749223877909,3.62812291845106,3.59091128211558,3.05309903111125,3.14723241917184,2.74894399635944,3.48822532603712,3.46404671691369,3.0682811010415,2.99217149587631,3.29686662224828,3.23140012872438
"ZNF710",3.7905269797976,3.8923858944934,3.74894296823626,4.1067992194955,3.96624411007732,3.91929749626818,3.70827126106669,3.83163721005177,3.9152259694218,3.97534250341199,3.36062062994094,3.85260936552443,4.12738580236907,4.227664937721
"ZNF711",5.15887836996521,4.89769651267378,4.6690214294677,3.95352672782241,4.23460812771934,4.32733837740741,4.09836767130704,4.7412165031315,4.06734674483581,4.14261584113732,4.25898515448426,4.15267686968604,4.37469470697401,3.51700594614394
"ZNF713",2.02466964832479,2.23811668887148,2.59243855712463,1.77811779261097,2.12845177644973,2.15580281762672,1.79045683256912,1.81626511696717,1.65955230631794,1.79536210808092,2.23811668887148,2.23284029788937,2.44228617394249,2.74894399635944
"ZNF714",3.64309311505882,3.50324421333332,3.94145333487598,4.17842978717445,3.76752480830088,3.67530013553449,3.62957825926732,3.05749223877909,3.58985298239364,3.3707885869099,3.53056217026939,3.05157593621306,3.23270714802905,3.39617127127172
"ZNF717",1.94186219169582,2.02167495692973,2.06067543924229,1.88997180726516,2.33520241372137,1.65955230631794,1.55394984754265,1.95211567578746,1.06198676412154,2.61136237272981,2.01866796606191,2.23284029788937,1.85093261974628,1.88997180726516
"ZNF720",3.83163721005177,3.82027572156302,3.417148994166,4.13246781403092,3.63582322013607,3.73505137099427,3.68249973810339,3.11643902925518,3.73728051580246,4.19422115214496,4.08341801470503,3.5948646354961,3.53972352774958,3.43703525696155
"ZNF74",1.71155729574315,2.38743703308424,2.33277264909417,2.35764490535285,2.52211162853995,2.71861647888192,2.3680489257277,2.66801294551669,2.11311669634734,2.1365598154784,1.91986192554427,2.23284029788937,2.62626276419999,2.21468121212743
"ZNF740",4.9763770669505,5.11538597622188,5.26248867238519,5.20582097335431,5.49248328853056,5.32858097011091,5.33055358113125,4.7552639390541,4.52813978574929,4.68949183241597,5.23861370331899,5.20085356266921,5.10849517193089,5.38075764847855
"ZNF746",4.83747872253424,4.63348776474908,4.57784694671359,4.35306010014194,4.74459822175462,4.56458900834983,4.7062914865413,5.03044925547263,4.26851642273746,4.99285058944412,4.81957990151531,4.70462019262008,4.59026023197646,4.98324698924195
"ZNF747",3.96624411007732,3.8799163701193,3.5948646354961,3.736414302228,3.61138886737091,3.18423309385891,3.45218633605478,4.25463776126098,4.03048077771726,4.52457840726672,3.73728051580246,3.88681447213546,3.62957825926732,3.54654717044405
"ZNF749",3.88598808355413,3.82027572156302,3.55418421157476,4.15343253921083,4.26568401338473,4.37500897524937,3.99040956268713,3.36062062994094,4.23665207927852,3.50324421333332,3.59949914577037,4.22459188977373,4.21224987642892,3.80478603652779
"ZNF75A",4.85637136551533,4.85271139298558,4.73328026871034,4.9321712990701,5.00396840163067,4.91425393447483,4.98400780092081,4.60929679828734,4.50179447803795,4.8230679655775,4.90775257719989,4.82674120797329,5.08244469739573,4.85513893139155
"ZNF75D",2.35764490535285,2.02167495692973,2.10733084074487,2.13943869961447,1.61021599992374,2.25939553508317,2.22232036252238,1.81626511696717,1.81626511696717,2.24334380561464,2.64295419977633,2.00543131472581,2.10733084074487,1.6515546698727
"ZNF76",1.66720483809559,1.81982627307059,1.96620292921843,0.647189747091995,1.61021599992374,1.70778621029694,1.39030456407497,2.25133563872504,2.11311669634734,1.24019252998779,1.67122042314245,1.3026446713492,1.69451969955565,1.21702768107529
"ZNF761",2.98191667129266,3.14021383421192,2.95622604530033,3.26409197759464,3.06233168682684,2.80759167393994,2.7774219536434,2.81691518511614,2.63502875119914,2.53133012882572,2.78727290898421,2.72683499656506,2.99640449359992,2.87553519528742
"ZNF764",2.50705711513058,2.53133012882572,2.80324896449295,2.64295419977633,2.91910520411547,2.55825033706612,2.6791778079186,2.88438334390432,2.89320598858578,3.27536307257635,2.01866796606191,2.86018632819639,3.17684430907649,2.10733084074487
