"","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21"
"LZTR1",3.430815,3.327394,4.290239,4.33917,4.042207,4.381558,3.819532,4.110925
"LZTS2",4.178967,4.464594,4.691725,4.28707,3.899148,4.185823,3.874061,3.940383
"M6PR",6.627589,6.665648,7.100096,6.996216,6.825351,6.990567,6.373262,6.418809
"MACF1",5.537112,5.653164,5.797284,5.662198,6.124212,5.862463,5.401895,5.722258
"MAD1L1",4.434201,4.322672,4.502499,4.486815,4.434201,4.293459,4.232941,4.158288
"MAD2L1",6.345767,6.101778,6.846397,6.825351,6.102065,6.112522,7.242771,7.159951
"MAD2L1BP",5.516867,5.530413,6.10382,5.975106,5.636142,5.556208,6.157023,6.158739
"MAD2L2",4.197184,3.957958,4.10975,3.48397,3.746928,3.792663,3.845704,4.473933
"MAEA",5.846401,5.380193,5.221345,5.475542,5.702466,5.876325,5.659744,5.308645
"MAF1",7.762491,7.466764,7.338614,7.48266,7.830931,7.731184,7.129036,7.206845
"MAFG",5.281695,5.133208,5.66017,5.836996,5.58143,5.415531,5.57057,5.201261
"MAFK",5.775487,5.986875,7.056283,6.937627,6.22719,5.891119,5.747184,5.600279
"MAGEA6",1.755367,1.24843,1.487746,1.24843,1.768009,1.862527,1.473778,1.60172
"MAGED2",7.105918,7.082811,6.334642,6.134496,6.983002,6.849985,6.815958,6.714661
"MAGED4B",2.083788,2.35009,1.993052,1.101197,1.574316,1.155533,2.014056,0.6470222
"MAGEE1",1.363927,1.875408,1.681843,1.101197,2.014056,1.155533,1.60172,1.60172
"MAGEF1",3.005551,3.157382,3.983018,3.980426,3.380636,3.051259,4.391296,4.322672
"MAGEH1",4.197184,4.492451,4.067099,3.703481,3.838448,3.907847,4.5971,4.544865
"MAGI1",1.929286,1.781881,2.074253,1.640012,2.094098,1.427256,1.827745,1.348786
"MAGI3",2.739657,3.11966,2.204681,1.940114,2.829737,2.845187,2.014056,1.473778
"MAGOH",5.625704,5.623232,6.01981,6.209181,6.012037,6.079694,5.970455,5.842062
"MAGOHB",6.604393,6.621298,7.034891,7.193424,6.916034,6.908192,7.416823,7.353722
"MAGT1",6.802335,6.572522,6.513689,6.293997,6.621093,6.794546,6.373262,6.122387
"MAK16",5.754885,5.94146,6.134183,6.393415,5.874187,6.174573,5.869945,6.292474
"MALL",8.407869,8.390966,7.845856,7.858275,8.187816,8.04162,7.043828,7.338614
"MALT1",3.580751,3.19832,3.461304,3.516924,3.311366,2.886836,2.936276,3.743902
"MAML1",4.5971,4.353418,5.133208,5.059308,4.510814,4.381558,4.422599,4.379412
"MAML2",1.929286,2.727015,2.727015,3.070661,2.526594,3.090202,2.474965,2.909287
"MAML3",3.680878,3.957958,3.487607,3.677756,3.725432,2.886836,2.770041,3.11966
"MAMLD1",1.929286,1.781881,1.681843,1.839194,1.039824,1.653219,1.473778,2.094098
"MAN1A2",3.993392,4.5971,3.404109,3.703481,3.606602,3.943006,3.580751,3.157382
"MAN2A1",5.090093,4.812341,4.664109,5.025217,5.247794,5.632856,4.799024,4.343284
"MAN2A2",4.215173,4.195009,3.618422,3.189132,3.838448,3.651561,2.875747,3.454154
"MAN2B2",4.236172,4.042207,3.703481,3.896446,4.086777,3.725432,3.171018,3.234068
"MAN2C1",2.223322,2.689006,2.406344,2.689006,2.467726,2.024269,2.094098,2.187849
"MANBA",3.896446,3.561201,2.958022,3.070661,3.77467,4.069511,3.792663,2.909287
"MANBAL",6.021646,6.096362,5.782272,5.276952,5.812119,5.444457,5.920078,5.953233
"MANEA",4.120507,4.13957,3.070661,3.157382,3.344444,4.185823,3.487607,3.380636
"MANEAL",3.298381,3.538241,3.825191,3.388456,3.277524,2.708572,3.124043,2.817972
"MANF",6.474891,6.707604,6.734244,6.487032,6.582492,6.409113,6.874594,7.18301
"MANSC1",4.215173,3.957958,3.748559,3.725432,4.001316,3.700096,3.580751,4.069511
"MAP1B",7.346407,7.413921,6.53781,6.377023,6.836786,6.916034,6.174573,6.071123
"MAP1LC3A",4.691725,4.731235,4.434201,4.773543,5.19113,5.020211,4.479554,4.728198
"MAP1LC3B2",7.114231,7.230724,7.067113,7.202919,7.555214,7.521628,6.822093,7.106378
"MAP1S",4.215173,4.322672,5.121458,4.927867,5.150835,4.701366,4.370576,4.343284
"MAP2",1.666814,1.363927,1.89792,2.103765,2.169916,2.103765,1.929286,2.35009
"MAP2K1",6.16797,6.144533,5.940109,5.877003,5.989469,6.231048,6.053105,5.973411
"MAP2K2",5.984276,6.267429,5.896617,5.812119,5.929639,5.644034,5.891459,6.328469
"MAP2K3",4.5971,5.007434,5.292865,5.315939,5.142635,4.894772,4.949515,4.901139
"MAP2K4",5.66622,5.870664,5.728578,5.820234,5.792013,5.943814,5.401895,5.520983
"MAP2K5",3.807608,4.059667,3.025663,3.415968,3.487607,3.837009,3.618422,3.893791
"MAP2K6",3.395888,3.469166,3.22511,3.356378,3.311366,3.624881,3.874061,3.19832
"MAP2K7",4.215173,4.176765,5.404747,5.048694,4.351355,4.464594,4.30187,4.505317
"MAP3K1",2.413885,2.864354,3.189132,3.189132,2.984262,2.979059,2.770041,3.454154
"MAP3K10",4.464594,4.812341,4.783427,4.915525,4.718796,4.322672,3.768489,3.743902
"MAP3K11",5.50919,5.332519,5.925549,5.789051,5.757218,5.160148,5.018926,5.445427
"MAP3K12",4.434201,4.353418,4.33917,4.381558,4.624279,3.961858,3.734734,4.127663
"MAP3K13",2.283327,2.727015,2.467726,3.070661,2.283327,2.770041,2.936276,2.770041
"MAP3K14",5.130961,5.032979,5.842062,6.009486,5.523215,5.577973,5.344866,5.237983
"MAP3K15",2.77637,2.77637,2.35009,2.938954,2.014056,3.161661,2.770041,2.474965
"MAP3K2",5.941785,5.812119,5.673558,5.864981,6.006277,6.130094,5.607126,5.702466
